Column1,rating,content
0,3,"?óng gói r?t c?n th?n giao hàng nhanh, tivi s? d?ng r?t ?n. Nh?ng có v?n ?? là khi l?p tivi thì m?t cái n?p ?ây m?t bên chân ?ã b? gãy m?t dù là nhân viên shopee xác nh?n nh?ng cách gi?i quy?t c?a shop r?t ko linh ho?t cho khách hàng là b?t KH ph?i tr? l?i s?n ph?m ch? ko ph?i ?em linh ki?n ??n thay"
1,5,"Giao hàng nhanh, m?i t?i ?ông nên ph?i t? ra xe ?? mang tv v? vì thi?u ng??i :( ?ã dùng kho?ng 1 tu?n thì th?y ch?t l??ng ok"
2,5,"Shop giao khá nhanh, ?óng gói ch?c ch?n. Nhân viên giao hàng c?ng thân thi?n nhi?t tình. Gi? mình s? liên h? shop ?? c? nhân viên l?p ??t xu?ng."
3,5,"Tivi xem hay, ch?t l??ng t?t, tuy nhiên ph?i nh?n tin cho shop thì m?i có nhân viên l?p ??t liên h? ch? c? ch? thì ko bi?t ??n bao gi?"
4,5,"?a nhan hang xem c?ng OK ah,giao hang lau quá xá ??t c? tuan moi co lun ah"
5,5,Ch?t l??ng s?n ph?m tuy?t v?i.. Shop giao hàng nhanh.. ?óng gói c?n th?n.
6,5,"M?y hnay giao nhanh h?n mình t??ng , +1 fl cho shop nhe kkkkkkk"
7,5,"Ch?t l??ng tuy?t v?i  ,ko ph?i bàn cãi ,l?n sau mua ti?p ,tuy?t "
8,5,"Hàng ?óng gói c?n th?n, giao h?i lâu chút, nguyên ?ai nguyên ki?n, ?úng mã "
9,5,??t hàng sale 12 12 nên s?n ???c giá t?t. Tivi ch?y t?t s?t nét phù h?p di?n tích gia ?ình. Mua hàng Mall nh?ng c?ng h?i lo vì là ?? ?i?n t?. Mong là dùng b?n
10,5,"Giao hàng nhanh, l?p ??t setup d?. Tivi xem nét, ch?t l??ng hình ?nh t?t okkkk s?n sale giá quá r? có g?n 6tr"
11,5,Giao hàng h?i  ch?m nh?ng hàng ??m b?o m?i . ??ng ký b?o hành h?i lâu chút. Giâ mua ???c r? 
12,5,"Tivi x?n xò dã man. Già quá r? so v?i ch?t l??ng. K?t n?i wifi t?t c?c k?. Màn hình to nên xem gì c?ng c?m giác b? choáng ng?p. Hình ?nh, âm thanh s?ng ??ng nh? cine trong nhà v?y. Nên mua mn ?i "
13,5,"??n hi?n t?i thì sp dùng r?t Ok , hình ?nh s?c nét, t?t.......::"
14,5,"558/15/10, ???ng Bình Qu?i,  ph??ng 28, qu?n Bình Th?nh, tp.HCM"
15,5,"Giao hàng nhanh chóng, mua dùm nên không bi?t ch?t l??ng s?n ph?m nh? nào, hy v?ng t?t "
16,5,Okokokokokokokokokokokokokokokokokokokojokokokokokokokokokokok
17,5,
18,5,
19,5,Tivi xem ???c m?t th?i gian r?i th?y ch?t l??ng r?t t?t. Giá c? ph?i ch?ng. Tuy nhiên giao hàng h?i lâu do Covid.
20,5,s?n ph?m ok ch?t l??ng t?t ?óng gói c?n th?n. Ghé Slinky ?? tr?i nghi?m nh?ng b? n?i y quy?n r? nh?t nhé https://instagram.com/slinky.lingerie
21,5,
22,5,"Ok, s?n dc mã gi?m nên c?ng h?i, riêng ??n v? v?n chuy?n thì giao hàng lâu quá, cùng tphcm mà t7 ??t t5 m?i có. Ch?t l??ng thì c?ng t?m dc. Ko nét b?ng sony. Nói chung là ok"
23,5,Tivi ?n. Giá c? ph?i ch?ng. Ship t? HN vào Tp. HCM nên ph?i ch? 1 tu?n. 
24,5,"S?m ph?m chính hãng ch?t l??ng tuy?t v?i, giao hanf nhanh . ?óng gói c?n th?n, s? ?ng hôi ship dài dài"
25,4,"Màn hình ??p vào ?c m?ng, tích h?p DVB/T2 ch? c?n c?m cáp SCTV là xem ?c ngay ko c?n ??u thu. Xem ?c Netflix.. . ?i?m tr? l?n nh?t là giao hàng b?ng xe t?i nên ko vào ?c h?m, ph?i t? ra ch? vô c?ng khá khó kh?n. Ngoài ra, remote gi?ng d?ng c? lo?i to, nút ko d? b?m nh? remote ??i cao c?p h?n"
26,5,"?óng gói c?n th?n, giao hàng nhanh, ch?t l??ng tuy?t v?i. S? ?ng h? samsung nhi?u"
27,5,"Giao hàng nhanh,?óng gói c?n th?n. Ch?a s? d?ng nên ch?a pk ?? b?n ntn"
28,5,s?n ph?m s? d?ng t?t trong t?m giá 6tr. 
29,5,"Shop giao hàng ?úng mô t?, ?óng gói c?n th?n, mình r?t hài lòng. Cám ?n shop"
30,5,"S?n ph?m chính hãng ,t?t trong t?m ti?n ,mua ?c lúc gi?m giá ,,"
31,5,
32,5,"S?n ph?m r?t xinh ??p tuy?t v?i, tôi không th? trông ??i gì h?n. C?m ?n nhà cung c?p, nhà s?n xu?t, c?m ?n ng??i bán hàng, c?m ?n sàn th??ng m?i ?i?n t?, c?m ?n ng??i v?n chuy?n ?? tôi có c? h?i dùng s?n ph?m t?t nh? th? này."
33,5,"TV ok. Nh?ng xui thanh toán ti?n m?t b? m?t ti?n oan. Rút kinh nghi?m l?n sau thanh toán qua ví shopee, có gì còn d? ?òi l?i"
34,5,Tuy?t v?i gioa hàng r?t nhanh và chuyên nghi?p s? ?ng h? ti?p t?c !!!!!!
